class, interaction
nowin,F21_f & F10_t
nowin,F5_f & F6_f & F11_f & F29_t
nowin,F35_f & F21_f & F33_t & F16_t
nowin,F21_f & F33_t & F16_t
nowin,F33_t & F21_f & F18_t & F34_t
nowin,F21_f & F18_t & F34_t & F32_t
nowin,F1_f & F35_f & F21_f & F6_f & F15_n & F31_f
nowin,F21_f & F33_t & F26_t & F7_t
nowin,F33_t & F7_t & F21_f
nowin,F21_f & F33_t & F27_t
won,F21_t
won,F10_f & F33_f & F32_f & F23_f & F35_t & F15_n & F12_f
won,F33_f & F32_f & F2_f & F10_f & F6_t
won,F32_f & F2_f & F10_f & F27_f & F33_f & F15_w
