class, interaction
e,odor_n & gill-size_b & ring-number_o
e,gill-size_b & ring-number_o & stalk-root_c
e,stalk-root_r
e,odor_n & spore-print-color_w & gill-size_b
e,stalk-color-below-ring_n & gill-spacing_w
e,gill-spacing_w & stalk-shape_t
e,stalk-surface-above-ring_s & stalk-surface-below-ring_s & stalk-color-above-ring_w & stalk-color-below-ring_w & bruises?_f & cap-surface_f & cap-color_g & odor_n
e,stalk-surface-below-ring_s & stalk-color-above-ring_w & stalk-color-below-ring_w & bruises?_f & cap-surface_f & odor_n
e,bruises?_f & cap-surface_y & habitat_d & stalk-surface-below-ring_f
p,odor_f
p,gill-color_b
p,odor_p
p,odor_c
p,spore-print-color_r
p,odor_m
p,gill-size_n & gill-color_w & stalk-surface-below-ring_y
