class, interaction
nowin,F21_f & F33_t & F18_t & F34_t
nowin,F33_t & F6_f & F8_t & F5_t
nowin,F6_f & F8_t & F10_t & F24_f & F11_t
nowin,F10_t & F21_f
nowin,F21_f & F32_t & F18_t
nowin,F16_t & F2_f
nowin,F2_f & F33_t & F21_f & F7_t
won,F21_t
won,F33_f & F10_f & F32_f & F35_t & F23_f & F15_n & F12_f
won,F10_f & F32_f & F23_f & F12_f & F34_f & F7_f & F4_f & F36_n & F31_t & F15_w
won,F32_f & F12_f & F34_f & F4_f & F36_n & F10_f & F33_f & F6_t
won,F33_f & F6_t & F22_t
won,F5_f & F33_f & F35_t & F10_f & F23_f & F15_w
won,F32_f & F12_f & F4_f & F36_n & F10_f & F33_f & F6_t
