class, interaction
nowin,F21_f & F10_t
nowin,F5_f & F6_f & F29_t
nowin,F27_t & F21_f & F34_f
nowin,F21_f & F34_f & F16_t
nowin,F33_t & F7_t & F9_t & F22_t
nowin,F6_f & F35_f & F21_f & F15_n & F1_f & F18_t
nowin,F21_f & F1_f & F6_f & F5_t & F33_t
nowin,F1_f & F5_t & F33_t & F21_f & F7_t
nowin,F33_t & F10_f & F18_t & F13_g & F36_t
nowin,F10_f & F18_t & F33_t & F21_f & F6_f
won,F21_t
won,F10_f & F33_f & F32_f & F23_f & F35_t & F15_n & F12_f
won,F33_f & F32_f & F23_f & F12_f & F2_f & F10_f & F6_t
won,F32_f & F23_f & F12_f & F2_f & F10_f & F7_f & F4_f & F36_n & F15_w
won,F32_f & F23_f & F10_f & F4_f & F36_n & F15_w
won,F10_f & F7_f & F33_f & F6_t
