class, interaction
nowin,F21_f & F33_t & F18_t & F34_t
nowin,F18_t & F34_t & F6_f & F10_f & F32_t
nowin,F10_f & F21_f & F33_t & F36_t & F7_t
nowin,F21_f & F33_t & F9_t
nowin,F9_t & F6_f & F10_t & F24_f & F1_t
nowin,F6_f & F21_f & F32_t & F24_t
nowin,F16_t & F20_f & F2_f
nowin,F10_t & F21_f
nowin,F21_f & F33_t & F7_t
nowin,F33_t & F21_f & F27_t
nowin,F21_f & F35_f & F15_n & F1_f & F7_f & F31_f
nowin,F35_f & F15_n & F1_f & F21_f & F6_f & F18_t
won,F21_t
won,F33_f & F10_f & F32_f & F23_f & F35_t & F15_n & F12_f
won,F10_f & F32_f & F23_f & F12_f & F18_f & F7_f & F26_t & F31_t & F15_w
won,F32_f & F23_f & F12_f & F26_t & F33_f & F10_f & F1_t & F34_t & F35_t
won,F12_f & F33_f & F10_f & F34_t & F35_t & F15_w
won,F33_f & F10_f & F34_t & F15_w & F6_t
won,F10_f & F33_f & F32_f & F1_t & F5_t
won,F33_f & F32_f & F10_f & F6_t
won,F32_f & F10_f & F27_f & F33_f & F5_f & F15_w
